annee;date;site;pontes;pontes_correction;traces;mission;modalite;nb_ilots;comptage;date_debut;date_fin;nb_jours
2022;09/12/2022-19/12/2022;ieroue;2;2;6;5;rapproche;1;1;09/12/2022;19/12/2022;10
2022;09/12/2022-19/12/2022;kouare;2;2;3;5;rapproche;1;1;09/12/2022;19/12/2022;10
2022;09/12/2022-19/12/2022;nda;6;7;15;5;rapproche;1;1;09/12/2022;19/12/2022;10
2022;09/12/2022-19/12/2022;vua;4;4;11;5;rapproche;1;1;09/12/2022;19/12/2022;10
2022;09/12/2022-19/12/2022;RAPPROCHE_all;23;25;48;5;rapproche;5;1;09/12/2022;19/12/2022;10
2022;06/12/2022-22/12/2022;amere;2;3;6;6;ponctuel;1;1;06/12/2022;22/12/2022;16
2022;06/12/2022-22/12/2022;kie;10;13;13;6;ponctuel;1;1;06/12/2022;22/12/2022;16
2022;06/12/2022-22/12/2022;nouare;0;0;0;6;ponctuel;1;1;06/12/2022;22/12/2022;16
2022;16/12/2022-30/12/2022;mato;0;0;1;7;ponctuel;1;1;16/12/2022;30/12/2022;14
2022;15/12/2022-29/12/2022;mbore;1;1;2;7;ponctuel;1;1;15/12/2022;29/12/2022;14
2022;15/12/2022-29/12/2022;ndo;9;11;9;7;ponctuel;1;1;15/12/2022;29/12/2022;14
2022;09/12/2022-29/12/2022;nge;4;5;7;7;rapproche;1;0;09/12/2022;29/12/2022;20
2022;16/12/2022-30/12/2022;noe;0;0;0;7;ponctuel;1;1;16/12/2022;30/12/2022;14
2022;15/12/2022-29/12/2022;petit koko;1;1;1;7;ponctuel;1;1;15/12/2022;29/12/2022;14
2022;16/12/2022-30/12/2022;puemba;2;2;2;7;ponctuel;1;1;16/12/2022;30/12/2022;14
2022;15/12/2022-29/12/2022;tere;0;0;0;7;rapproche;1;1;15/12/2022;29/12/2022;14
